                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00655,                 2.7465,                 1.0777,                 0.0063,                 3.8182,                  1.018,                0.00273,                0.42697,                0.27125,                0.23178,                0.00457,                 3.0843,                0.85352,                0.00444,                 3.8797,                0.84223,                0.07075,                0.00325,                0.00325
                      2,                0.00626,                 1.3778,                 1.0538,                0.00597,                 2.4211,                 0.9768,                0.67087,                0.51033,                0.56943,                0.47186,                0.00569,                 1.8912,                0.93212,                 0.0054,                 2.4359,                0.85507,                0.04062,               0.006453,               0.006453
                      3,                0.00851,                 1.3216,                 1.1261,                 0.0077,                 2.1511,                 1.0269,                0.60401,                0.50132,                0.62827,                0.44845,                0.00712,                  1.355,                 0.9967,                0.00723,                 2.2201,                 0.9656,               0.010357,               0.009524,               0.009524
                      4,                0.00764,                 1.2407,                  1.058,                0.00745,                  1.983,                0.99676,                0.76479,                0.68074,                0.80532,                0.54556,                0.00754,                 1.4176,                 1.0252,                 0.0079,                 1.8332,                 1.0182,               0.009406,               0.009406,               0.009406
                      5,                 0.0066,                 1.1132,                0.99519,                0.00666,                 1.8081,                0.96519,                0.74762,                0.83095,                 0.8397,                0.65553,                0.00518,                0.87221,                 0.8704,                 0.0053,                  1.513,                0.87729,               0.009406,               0.009406,               0.009406
                      6,                0.00551,                0.91964,                0.92854,                0.00572,                 1.7037,                0.91761,                  0.822,                0.68288,                0.85314,                0.69153,                0.00468,                0.80464,                 0.8561,                0.00466,                 1.9883,                0.83832,               0.009208,               0.009208,               0.009208
                      7,                0.00533,                0.93179,                0.94299,                 0.0057,                 1.6563,                 0.9267,                0.82632,                0.89745,                0.93335,                0.75664,                0.00483,                 0.7587,                0.86368,                  0.005,                 1.0584,                0.84366,                0.00901,                0.00901,                0.00901
                      8,                0.00537,                0.87087,                 0.9319,                0.00576,                 1.4406,                0.91902,                0.76182,                0.90329,                0.91929,                0.74605,                0.00557,                0.74768,                0.90006,                0.00569,                 1.1192,                 0.8565,               0.008812,               0.008812,               0.008812
                      9,                0.00538,                0.91499,                0.92578,                 0.0058,                 1.3395,                0.91515,                0.88343,                0.81366,                0.93853,                0.79262,                0.00427,                0.73988,                0.83707,                 0.0044,                0.99759,                0.81216,               0.008614,               0.008614,               0.008614
                     10,                0.00515,                0.83646,                0.92683,                0.00568,                 1.2217,                0.92262,                0.74205,                0.87605,                0.90887,                 0.7417,                0.00465,                0.75002,                0.85862,                0.00542,                 1.1006,                0.84681,               0.008416,               0.008416,               0.008416
                     11,                0.00507,                0.82521,                0.90255,                0.00575,                 1.2075,                0.90016,                0.76082,                 0.8858,                0.89248,                0.69918,                0.00445,                0.70141,                0.84685,                0.00479,                0.98638,                0.83763,               0.008218,               0.008218,               0.008218
                     12,                0.00548,                0.79953,                0.93072,                0.00613,                 1.1206,                 0.9311,                0.78687,                0.89605,                0.92713,                  0.751,                0.00456,                0.67354,                 0.8521,                 0.0051,                0.92136,                0.84781,                0.00802,                0.00802,                0.00802
                     13,                0.00543,                0.77548,                0.91629,                0.00608,                 1.0506,                0.92996,                0.86633,                0.87039,                 0.9349,                0.73296,                0.00488,                0.71678,                0.86779,                0.00592,                0.90082,                0.87382,               0.007822,               0.007822,               0.007822
                     14,                0.00503,                0.73868,                0.91434,                0.00575,                0.98388,                0.92304,                0.78269,                0.88816,                0.91448,                0.76606,                0.00428,                0.65862,                0.83999,                0.00473,                0.88285,                0.82975,               0.007624,               0.007624,               0.007624
                     15,                0.00491,                0.70667,                0.89665,                0.00548,                0.96199,                 0.9145,                0.81386,                0.94473,                0.94731,                0.78892,                0.00385,                0.60036,                0.84361,                0.00454,                0.84219,                0.84231,               0.007426,               0.007426,               0.007426
                     16,                0.00457,                0.68635,                 0.8938,                0.00519,                0.94964,                 0.9142,                0.81611,                 0.8768,                0.93227,                0.78852,                0.00398,                 0.5927,                0.84801,                0.00449,                0.77783,                0.83517,               0.007228,               0.007228,               0.007228
                     17,                0.00475,                0.71389,                0.90189,                0.00546,                0.89885,                0.92654,                0.82262,                0.91812,                 0.9613,                0.80791,                0.00385,                0.59541,                0.84393,                0.00411,                0.77669,                0.82488,                0.00703,                0.00703,                0.00703
                     18,                0.00467,                0.64405,                   0.89,                0.00543,                0.83332,                0.91878,                0.85935,                0.91053,                 0.9593,                0.80619,                0.00397,                 0.5573,                0.85746,                0.00421,                0.66213,                0.83307,               0.006832,               0.006832,               0.006832
                     19,                0.00463,                0.65474,                0.89814,                0.00528,                0.79409,                0.91511,                0.91531,                0.86249,                0.96705,                0.78506,                 0.0046,                0.57976,                0.88042,                0.00496,                0.65286,                0.86221,               0.006634,               0.006634,               0.006634
                     20,                0.00514,                0.66071,                0.91918,                0.00577,                0.79023,                0.93126,                0.83651,                0.92323,                0.96269,                0.77459,                0.00488,                 0.6063,                0.89373,                0.00511,                0.68016,                0.87318,               0.006436,               0.006436,               0.006436
                     21,                0.00461,                0.61644,                0.89093,                0.00508,                0.75798,                0.90074,                0.90774,                0.85929,                0.94852,                0.80492,                0.00392,                0.56934,                 0.8472,                0.00413,                0.62406,                0.82668,               0.006238,               0.006238,               0.006238
                     22,                0.00433,                0.59593,                0.89409,                0.00488,                0.72547,                0.91307,                0.88779,                0.81439,                0.94849,                0.78016,                0.00412,                 0.5685,                0.85642,                0.00452,                0.61734,                0.84495,                0.00604,                0.00604,                0.00604
                     23,                0.00447,                0.61642,                 0.8998,                0.00513,                0.67832,                0.92223,                0.83126,                0.89383,                0.94805,                0.77639,                 0.0037,                0.55386,                0.84505,                0.00409,                0.72511,                0.84846,               0.005842,               0.005842,               0.005842
                     24,                0.00434,                0.58677,                 0.8854,                0.00487,                 0.6449,                0.90306,                0.84504,                0.91619,                0.94887,                 0.7752,                0.00382,                 0.5359,                0.84448,                0.00419,                 0.7129,                0.84185,               0.005644,               0.005644,               0.005644
                     25,                0.00443,                0.57847,                0.88511,                0.00493,                0.63397,                0.90514,                0.84738,                0.87147,                0.92458,                 0.7624,                0.00408,                 0.5213,                0.84555,                0.00427,                0.66142,                0.84229,               0.005446,               0.005446,               0.005446
                     26,                0.00445,                0.57602,                0.89153,                0.00493,                0.61454,                0.91469,                0.85435,                0.94475,                 0.9534,                0.79578,                0.00395,                0.52208,                0.83253,                 0.0043,                 0.6261,                0.82562,               0.005248,               0.005248,               0.005248
                     27,                0.00423,                0.55514,                0.88174,                0.00485,                0.58459,                0.90112,                0.86062,                 0.9092,                0.95054,                 0.8194,                0.00379,                0.49475,                 0.8421,                0.00395,                 0.6108,                0.84658,                0.00505,                0.00505,                0.00505
