                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00586,                0.63583,                0.96707,                0.00622,                0.73432,                 0.9624,                0.82515,                 0.9509,                0.96167,                0.74191,                0.00711,                0.69929,                 1.1433,                0.00737,                0.53227,                 1.0848,                 0.0919,                 0.0009,                 0.0009
                      2,                0.00563,                0.70058,                0.97421,                0.00623,                 1.0545,                 0.9999,                      1,                0.98427,                  0.995,                0.70925,                0.00784,                0.64674,                 1.1495,                0.00771,                0.52083,                 1.1472,               0.082891,              0.0018906,              0.0018906
                      3,                0.00511,                0.57539,                0.94673,                0.00616,                 0.6171,                0.97241,                      1,                0.99878,                  0.995,                0.68089,                0.00819,                0.58789,                 1.1561,                0.00829,                 0.7156,                 1.2415,               0.073871,              0.0028713,              0.0028713
                      4,                0.00572,                0.60182,                0.98119,                0.00639,                0.68776,                0.98884,                      1,                0.99438,                  0.995,                0.68436,                0.00857,                0.58276,                 1.1665,                0.00922,                 0.5484,                 1.2081,               0.064842,              0.0038421,              0.0038421
                      5,                0.00499,                0.59264,                0.91854,                0.00541,                0.54268,                0.92252,                 0.9577,                    0.8,                0.90611,                 0.6693,                 0.0075,                0.54213,                   1.12,                0.00732,                0.84782,                 1.2642,               0.055803,               0.004803,               0.004803
                      6,                0.00521,                0.55527,                0.92792,                0.00569,                0.58757,                0.95314,                      1,                0.94409,                  0.995,                0.76418,                0.00728,                0.63515,                  1.092,                0.00731,                0.71781,                 1.2049,               0.046754,               0.005754,               0.005754
                      7,                0.00516,                0.60674,                0.94928,                0.00607,                0.74216,                0.97655,                      1,                0.94409,                  0.995,                0.76418,                0.00728,                0.63515,                  1.092,                0.00731,                0.71781,                 1.2049,               0.037695,              0.0066951,              0.0066951
                      8,                0.00556,                0.60563,                0.93334,                0.00611,                0.58392,                0.94532,                      1,                 0.9762,                  0.995,                0.71716,                0.00781,                0.87953,                 1.1355,                0.00651,                 1.1682,                 1.1372,               0.028626,              0.0076263,              0.0076263
                      9,                0.00578,                0.65722,                0.95829,                0.00687,                0.63947,                 0.9782,                0.96293,                      1,                  0.995,                0.67162,                0.00773,                0.81466,                 1.1238,                0.00866,                0.58783,                 1.1293,               0.019548,              0.0085476,              0.0085476
                     10,                0.00639,                0.74461,                0.95057,                0.00734,                0.73822,                 1.0003,                0.96293,                      1,                  0.995,                0.67162,                0.00773,                0.81466,                 1.1238,                0.00866,                0.58783,                 1.1293,               0.010459,               0.009459,               0.009459
                     11,                0.00612,                0.63963,                0.97508,                0.00726,                0.71036,                 1.0216,                0.95789,                    0.8,                0.93786,                0.60643,                0.00915,                 1.7478,                 1.3287,                0.01135,                 1.0381,                 1.3709,               0.009505,               0.009505,               0.009505
                     12,                0.00648,                0.71615,                0.99466,                0.00772,                 0.8382,                 1.0853,                0.70134,                0.94561,                0.83071,                0.55496,                0.00787,                 0.8763,                 1.1077,                 0.0087,                0.98393,                 1.3171,               0.009505,               0.009505,               0.009505
                     13,                0.00606,                0.72408,                0.98225,                0.00727,                 0.9025,                 1.0538,                0.70134,                0.94561,                0.83071,                0.55496,                0.00787,                 0.8763,                 1.1077,                 0.0087,                0.98393,                 1.3171,              0.0094555,              0.0094555,              0.0094555
                     14,                 0.0057,                0.63406,                0.95625,                0.00653,                0.71823,                 1.0085,                0.91866,                      1,                  0.995,                0.70546,                0.00695,                0.93422,                 1.0676,                0.00809,                0.69551,                 1.1278,               0.009406,               0.009406,               0.009406
                     15,                 0.0059,                 0.6623,                0.96118,                0.00687,                0.69625,                 1.0254,                0.97222,                    0.6,                  0.855,                0.61686,                0.00704,                0.75525,                 1.1012,                0.00865,                 1.0268,                 1.1421,              0.0093565,              0.0093565,              0.0093565
                     16,                0.00688,                0.83802,                 1.0423,                0.00726,                0.86578,                 1.0156,                0.97222,                    0.6,                  0.855,                0.61686,                0.00704,                0.75525,                 1.1012,                0.00865,                 1.0268,                 1.1421,               0.009307,               0.009307,               0.009307
                     17,                0.00565,                0.67112,                0.99389,                0.00637,                0.79109,                 1.0131,                0.99958,                    0.8,                   0.92,                 0.6629,                0.00612,                0.74383,                 1.0633,                0.00837,                  1.063,                 1.1154,              0.0092575,              0.0092575,              0.0092575
                     18,                 0.0057,                0.63992,                0.95822,                0.00685,                0.92295,                0.96902,                0.99958,                    0.8,                   0.92,                 0.6629,                0.00612,                0.74383,                 1.0633,                0.00837,                  1.063,                 1.1154,               0.009208,               0.009208,               0.009208
                     19,                0.00612,                0.67783,                0.99861,                 0.0073,                0.74186,                 1.0318,                      1,                0.77572,                   0.92,                0.64575,                0.00719,                  1.011,                 1.1173,                0.00873,                 1.0581,                 1.2062,              0.0091585,              0.0091585,              0.0091585
                     20,                0.00594,                0.72709,                 1.0081,                0.00707,                0.70742,                  1.033,                      1,                0.79021,                0.93786,                0.61838,                0.00888,                0.82935,                  1.268,                0.00897,                 1.0229,                 1.2198,               0.009109,               0.009109,               0.009109
                     21,                0.00623,                0.91076,                 1.0256,                0.00761,                0.88307,                 1.0867,                      1,                0.79021,                0.93786,                0.61838,                0.00888,                0.82935,                  1.268,                0.00897,                 1.0229,                 1.2198,              0.0090595,              0.0090595,              0.0090595
                     22,                0.00642,                0.77634,                 1.0151,                0.00779,                0.84554,                 1.0721,                0.82853,                 0.9712,                0.96167,                0.60705,                0.00928,                 1.8142,                 1.4114,                0.00971,                 1.8431,                 1.5159,                0.00901,                0.00901,                0.00901
                     23,                0.00613,                0.71272,                 0.9843,                0.00667,                0.88541,                 1.0031,                0.99212,                    0.6,                0.92833,                0.59113,                0.00926,                 1.8633,                 1.3176,                0.00979,                 1.4985,                 1.2747,              0.0089605,              0.0089605,              0.0089605
                     24,                0.00608,                0.69798,                 1.0006,                0.00688,                0.92435,                 1.0072,                0.99212,                    0.6,                0.92833,                0.59113,                0.00926,                 1.8633,                 1.3176,                0.00979,                 1.4985,                 1.2747,               0.008911,               0.008911,               0.008911
                     25,                0.00595,                0.71167,                0.97364,                0.00679,                0.90563,                 1.0133,                      1,                0.78981,                0.88591,                0.60377,                0.00776,                 1.3423,                 1.2334,                0.00814,                 1.6499,                 1.2168,              0.0088615,              0.0088615,              0.0088615
                     26,                0.00593,                0.75195,                 1.0302,                0.00675,                0.90003,                 1.0627,                      1,                0.78981,                0.88591,                0.60377,                0.00776,                 1.3423,                 1.2334,                0.00814,                 1.6499,                 1.2168,               0.008812,               0.008812,               0.008812
                     27,                0.00626,                0.71987,                 1.0237,                0.00737,                 0.8778,                 1.0509,                0.96788,                    0.8,                   0.92,                0.55622,                0.00885,                  1.202,                  1.287,                0.01076,                 2.3788,                 1.3571,              0.0087625,              0.0087625,              0.0087625
                     28,                0.00596,                 0.6689,                0.98942,                0.00713,                0.72919,                 1.0254,                0.98515,                      1,                  0.995,                0.60715,                0.00838,                0.87215,                  1.231,                0.00999,                0.78875,                 1.3339,               0.008713,               0.008713,               0.008713
                     29,                0.00636,                0.76695,                 1.0152,                 0.0075,                 0.8462,                 1.0239,                0.98515,                      1,                  0.995,                0.60715,                0.00838,                0.87215,                  1.231,                0.00999,                0.78875,                 1.3339,              0.0086635,              0.0086635,              0.0086635
                     30,                0.00636,                0.69786,                 1.0089,                0.00718,                0.88631,                 1.0307,                0.88352,                      1,                  0.995,                0.63872,                0.00841,                0.76593,                 1.2572,                0.00932,                0.93683,                  1.277,               0.008614,               0.008614,               0.008614
                     31,                0.00605,                0.69126,                0.98223,                0.00729,                0.84671,                   1.03,                0.95871,                      1,                  0.995,                 0.6081,                0.00818,                0.77624,                 1.2277,                0.01081,                0.81129,                 1.3035,              0.0085645,              0.0085645,              0.0085645
                     32,                 0.0056,                0.62036,                0.97488,                0.00653,                0.80564,                 1.0026,                0.95871,                      1,                  0.995,                 0.6081,                0.00818,                0.77624,                 1.2277,                0.01081,                0.81129,                 1.3035,               0.008515,               0.008515,               0.008515
                     33,                0.00593,                0.63971,                 0.9689,                0.00701,                0.77792,                 1.0298,                 0.9893,                      1,                  0.995,                0.63365,                0.00732,                 0.6832,                 1.1383,                0.00905,                0.70407,                 1.2091,              0.0084655,              0.0084655,              0.0084655
                     34,                0.00556,                0.69782,                0.96591,                0.00601,                0.91028,                 1.0406,                 0.9893,                      1,                  0.995,                0.63365,                0.00732,                 0.6832,                 1.1383,                0.00905,                0.70407,                 1.2091,               0.008416,               0.008416,               0.008416
                     35,                0.00528,                0.63815,                0.99463,                0.00646,                0.78865,                 1.0137,                 0.8298,                0.97877,                0.96167,                0.62265,                0.00832,                0.86032,                 1.2312,                0.00958,                 1.0661,                 1.3465,              0.0083665,              0.0083665,              0.0083665
                     36,                0.00575,                0.72724,                0.96076,                0.00642,                0.93676,                0.95929,                0.93001,                      1,                  0.995,                0.59062,                0.00828,                0.77601,                 1.2178,                 0.0092,                0.84661,                 1.3108,               0.008317,               0.008317,               0.008317
                     37,                0.00576,                0.67671,                 0.9874,                0.00691,                0.98121,                 1.0184,                0.93001,                      1,                  0.995,                0.59062,                0.00828,                0.77601,                 1.2178,                 0.0092,                0.84661,                 1.3108,              0.0082675,              0.0082675,              0.0082675
                     38,                0.00527,                0.60713,                0.95198,                0.00591,                0.63641,                0.98715,                0.83063,                 0.9838,                0.96167,                 0.6992,                0.00696,                0.69736,                 1.1017,                0.00798,                0.76425,                  1.225,               0.008218,               0.008218,               0.008218
                     39,                0.00597,                0.66969,                 1.0071,                0.00674,                0.86483,                 1.0364,                0.94944,                      1,                  0.995,                0.69947,                0.00619,                0.65708,                 1.0791,                0.00704,                0.71219,                 1.1558,              0.0081685,              0.0081685,              0.0081685
                     40,                0.00568,                0.64513,                0.95627,                0.00644,                0.63521,                0.98596,                0.94944,                      1,                  0.995,                0.69947,                0.00619,                0.65708,                 1.0791,                0.00704,                0.71219,                 1.1558,               0.008119,               0.008119,               0.008119
                     41,                0.00529,                0.60324,                0.97152,                0.00545,                 0.7571,                0.98114,                0.83147,                0.98884,                0.96167,                0.72231,                0.00642,                0.65388,                 1.0857,                0.00722,                    1.4,                 1.0971,              0.0080695,              0.0080695,              0.0080695
                     42,                0.00624,                0.68264,                0.96672,                0.00722,                0.98565,                0.99831,                0.83147,                0.98884,                0.96167,                0.72231,                0.00642,                0.65388,                 1.0857,                0.00722,                    1.4,                 1.0971,                0.00802,                0.00802,                0.00802
                     43,                0.00645,                0.75807,                 1.0161,                0.00796,                 1.0523,                 1.1113,                0.81233,                  0.874,                0.92833,                0.73043,                0.00603,                0.71848,                 1.0688,                0.00577,                0.87622,                 1.0292,              0.0079705,              0.0079705,              0.0079705
                     44,                0.00586,                0.65874,                0.96715,                0.00697,                0.72266,                 1.0301,                0.98965,                      1,                  0.995,                0.66677,                0.00695,                0.65736,                 1.1579,                0.00832,                0.56437,                 1.1808,               0.007921,               0.007921,               0.007921
                     45,                0.00605,                0.67324,                 1.0289,                0.00693,                0.66543,                 1.0439,                0.98965,                      1,                  0.995,                0.66677,                0.00695,                0.65736,                 1.1579,                0.00832,                0.56437,                 1.1808,              0.0078715,              0.0078715,              0.0078715
                     46,                0.00478,                 0.5896,                0.95173,                0.00571,                0.65183,                0.99615,                0.66174,                      1,                0.88071,                0.68223,                0.00683,                0.66988,                 1.1403,                0.00475,                 1.7234,                 1.0062,               0.007822,               0.007822,               0.007822
                     47,                0.00526,                0.63891,                0.95277,                0.00604,                0.88315,                 1.0123,                0.99709,                      1,                  0.995,                0.76433,                0.00691,                0.65947,                 1.1566,                0.00593,                0.61881,                 1.0061,              0.0077725,              0.0077725,              0.0077725
                     48,                 0.0054,                0.62933,                0.97129,                0.00625,                0.84839,                0.99036,                0.99709,                      1,                  0.995,                0.76433,                0.00691,                0.65947,                 1.1566,                0.00593,                0.61881,                 1.0061,               0.007723,               0.007723,               0.007723
                     49,                0.00539,                0.61536,                0.96548,                0.00595,                0.77925,                 1.0005,                0.97991,                      1,                  0.995,                0.76464,                0.00654,                0.57459,                 1.0883,                0.00655,                0.57934,                 1.0476,              0.0076735,              0.0076735,              0.0076735
                     50,                0.00522,                0.59942,                 0.9669,                0.00648,                0.67355,                 1.0563,                0.97991,                      1,                  0.995,                0.76464,                0.00654,                0.57459,                 1.0883,                0.00655,                0.57934,                 1.0476,               0.007624,               0.007624,               0.007624
                     51,                0.00537,                0.62433,                 1.0108,                0.00712,                0.67994,                 1.1781,                0.80812,                      1,                0.96167,                0.75583,                0.00757,                0.62938,                 1.1646,                0.00678,                0.62002,                 1.0239,              0.0075745,              0.0075745,              0.0075745
                     52,                0.00558,                0.65576,                0.99721,                0.00657,                0.83106,                 1.0827,                0.82347,                      1,                0.96167,                0.78143,                0.00772,                0.65293,                 1.2015,                0.00615,                0.47374,                 1.0037,               0.007525,               0.007525,               0.007525
                     53,                0.00511,                0.59311,                0.96138,                0.00626,                0.66337,                 1.0624,                0.82347,                      1,                0.96167,                0.78143,                0.00772,                0.65293,                 1.2015,                0.00615,                0.47374,                 1.0037,              0.0074755,              0.0074755,              0.0074755
                     54,                 0.0051,                0.58641,                0.94718,                0.00627,                0.72927,                 1.0263,                0.99441,                      1,                  0.995,                0.79645,                0.00807,                 0.5965,                 1.2419,                  0.007,                 0.4246,                 1.0826,               0.007426,               0.007426,               0.007426
                     55,                0.00613,                0.66694,                0.97713,                0.00788,                0.91583,                 1.0683,                0.99648,                      1,                  0.995,                0.73678,                0.00893,                0.62285,                 1.3866,                0.00792,                0.51669,                 1.1903,              0.0073765,              0.0073765,              0.0073765
